id,age,gender,qualification,education,profession,position,company,experience,location
287,58,male,Licensed,PhD,Scientist,HR Manager,Innovate Corp,18,Houston
326,29,male,Skilled,PhD,Manager,HR Manager,InfoTech Co,7,Phoenix
28,45,male,Licensed,Bachelors Degree,Consultant,Project Manager,Innovate Corp,16,San Antonio
29,39,female,Licensed,Bachelors Degree,Engineer,Data Scientist,Global Enterprises,14,San Diego
30,63,female,Expert,High School,Developer,Project Manager,Cybernetics Ltd,9,Chicago
31,20,female,Certified,Masters Degree,Designer,Project Manager,Innovate Corp,11,Phoenix
32,34,female,Expert,High School,Scientist,Data Scientist,Innovate Corp,7,New York
33,55,male,Licensed,Masters Degree,Analyst,Sales Representative,Innovate Corp,3,Los Angeles
34,32,male,Licensed,PhD,Consultant,Project Manager,InfoTech Co,3,San Antonio
35,35,male,Qualified,High School,Scientist,Financial Analyst,Cybernetics Ltd,18,Dallas
36,18,female,Qualified,Masters Degree,Consultant,Financial Analyst,Global Enterprises,16,Houston
37,34,female,Qualified,Bachelors Degree,Analyst,Software Engineer,Global Enterprises,8,San Jose
38,64,male,Qualified,High School,Manager,Software Engineer,Cybernetics Ltd,13,Chicago
39,29,male,Certified,PhD,Developer,Marketing Manager,InfoTech Co,4,San Antonio
40,50,male,Licensed,High School,Developer,Sales Representative,Data Systems Inc,10,Dallas
41,43,female,Experienced,PhD,Developer,Marketing Manager,Innovate Corp,11,San Antonio
42,20,male,Certified,High School,Analyst,HR Manager,Data Systems Inc,19,Houston
43,65,male,Licensed,High School,Manager,Marketing Manager,Innovate Corp,3,Phoenix
44,34,male,Qualified,Bachelors Degree,Designer,Software Engineer,Global Enterprises,3,New York
45,18,female,Expert,High School,Engineer,Software Engineer,InfoTech Co,9,New York
46,41,female,Expert,Masters Degree,Developer,Marketing Manager,Tech Solutions,12,Dallas
47,60,female,Licensed,PhD,Scientist,HR Manager,InfoTech Co,8,San Jose
48,55,male,Licensed,Masters Degree,Analyst,Sales Representative,Global Enterprises,3,San Antonio
49,30,male,Skilled,Bachelors Degree,Developer,Data Scientist,Innovate Corp,16,Phoenix
50,32,female,Licensed,Masters Degree,Engineer,HR Manager,Data Systems Inc,18,Los Angeles
51,51,female,Skilled,PhD,Consultant,Financial Analyst,Global Enterprises,8,Chicago
52,37,male,Qualified,Bachelors Degree,Consultant,Software Engineer,Cybernetics Ltd,7,Los Angeles
53,36,male,Expert,High School,Manager,Software Engineer,Innovate Corp,7,Dallas
54,24,male,Qualified,High School,Engineer,Marketing Manager,InfoTech Co,7,San Jose
55,26,male,Licensed,Masters Degree,Engineer,Project Manager,Global Enterprises,10,New York
56,58,female,Certified,Bachelors Degree,Scientist,Software Engineer,Tech Solutions,16,Los Angeles
57,18,female,Qualified,Bachelors Degree,Analyst,HR Manager,Cybernetics Ltd,20,Dallas
58,55,male,Licensed,PhD,Scientist,Project Manager,Global Enterprises,20,Chicago
59,28,female,Skilled,High School,Analyst,Project Manager,Innovate Corp,13,San Antonio
60,52,male,Expert,PhD,Manager,Marketing Manager,Cybernetics Ltd,7,Houston
61,34,female,Qualified,Masters Degree,Developer,Financial Analyst,Innovate Corp,9,Philadelphia
62,38,male,Expert,Bachelors Degree,Scientist,Data Scientist,Global Enterprises,18,Los Angeles
63,21,female,Expert,Masters Degree,Engineer,Data Scientist,Global Enterprises,15,San Antonio
64,20,male,Expert,Masters Degree,Analyst,Financial Analyst,Cybernetics Ltd,6,San Diego
65,28,male,Qualified,Bachelors Degree,Scientist,Marketing Manager,Cybernetics Ltd,2,San Diego
66,65,male,Experienced,Masters Degree,Engineer,Project Manager,Cybernetics Ltd,15,San Diego
67,29,male,Skilled,Masters Degree,Consultant,HR Manager,Data Systems Inc,15,San Jose
68,60,male,Experienced,Bachelors Degree,Scientist,Sales Representative,Tech Solutions,10,Chicago
69,43,female,Expert,High School,Engineer,HR Manager,Cybernetics Ltd,10,Phoenix
70,44,male,Licensed,PhD,Engineer,Data Scientist,InfoTech Co,2,Phoenix
71,55,female,Certified,Masters Degree,Scientist,Data Scientist,Global Enterprises,4,Philadelphia
72,37,male,Experienced,High School,Engineer,Project Manager,Global Enterprises,11,New York
73,39,male,Experienced,Bachelors Degree,Scientist,Financial Analyst,InfoTech Co,17,New York
74,37,female,Certified,Masters Degree,Engineer,HR Manager,Tech Solutions,13,Los Angeles
75,47,male,Qualified,High School,Consultant,Project Manager,Cybernetics Ltd,12,San Jose
76,57,male,Qualified,Bachelors Degree,Consultant,Marketing Manager,Data Systems Inc,3,Philadelphia
77,23,female,Experienced,High School,Scientist,HR Manager,Global Enterprises,20,San Antonio
78,20,male,Qualified,High School,Scientist,Sales Representative,Tech Solutions,14,San Antonio
79,21,female,Expert,Masters Degree,Analyst,Data Scientist,Global Enterprises,14,San Jose
80,46,female,Licensed,Bachelors Degree,Consultant,Data Scientist,Data Systems Inc,20,New York
81,22,male,Qualified,Bachelors Degree,Developer,Project Manager,Innovate Corp,4,Chicago
82,37,female,Qualified,PhD,Analyst,Sales Representative,Cybernetics Ltd,10,New York
83,24,female,Skilled,PhD,Engineer,HR Manager,Tech Solutions,8,Philadelphia
84,37,male,Licensed,High School,Developer,Financial Analyst,Global Enterprises,12,Los Angeles
85,64,male,Licensed,Bachelors Degree,Analyst,Marketing Manager,Global Enterprises,16,San Jose
